1034.95,-710.85
1028.8,-710.85
1021.8,-712.65
1010.15,-714.45
995.15,-713.05
988.15,-716.85
984.15,-723.65
985.95,-733.25
992.4,-739.45
1003.0,-742.2
1017.6,-740.85
1030.8,-738.25
1045.2,-736.45
1059.4,-735.05
1082.2,-735.85
1092.15,-735.75
1110.55,-736.85
1114.2,-734.85
1118.55,-730.65
1121.2,-724.65
1119.4,-718.25
1115.0,-712.4
1108.95,-709.65
1095.4,-709.65
1090.8,-708.25
1094.8,-703.65
1098.55,-696.85
1101.8,-687.25
1104.4,-678.25
1105.4,-667.25
1105.4,-655.05
1103.55,-649.05
1100.8,-640.85
1096.55,-634.05
1087.95,-629.05
1081.55,-628.65
1073.95,-623.65
1064.4,-623.25
1062.4,-622.85
1055.55,-626.45
1053.4,-628.65
1049.2,-629.65
1045.2,-631.45
1040.2,-634.65
1032.8,-643.65
1028.4,-651.85
1025.55,-661.45
1023.8,-670.65
1022.8,-681.05
1025.95,-689.65
1029.2,-697.45
1033.4,-702.45
1036.55,-704.65
1037.8,-708.45
1034.95,-710.85
